OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
124,eez,218,Canada,CAN,5698085.41588,97.53,90.56,97.34,54.65,93.82,100,49.96,53.14,93.75,69.46,72.05,90.52,81.05,27.85,75.27,39.39,48.66,87.37,54.89,-0.31,67120647161906.9,331599633.970879
125,eez,219,Saint Pierre and Miquelon,SPM,12367.3042162,98.52,90.84,0,0,83.7,64.3,56.17,56.14,100,67.7,71.3,82.12,99.95,11.99,2.39,0,39.84,81.68,47.94,-0.25,25529488773.2988,1503570.30387153
126,eez,220,Sint Maarten,SXM,497.50356338,92.06,94.1,100,100,49.5,84.58,17.7,17.7,96.23,72.01,70.27,90.47,96.36,45.84,0,0,58.92,91.96,100,-1.75,614007978.543945,106553.50650721
127,eez,221,Northern Saint-Martin,MAF,5386.64764732,87.14,95.68,95.26,100,45.39,85.28,20.23,20.23,96.65,73.09,80.12,90.82,96.36,100,0,0,86.55,94.7,100,0.08,4638461668.2168,428819.533990748
128,eez,222,Sweden,SWE,154980.513265,98.02,84.88,57.96,61.31,62.81,100,77.63,76.82,86.9,89.26,69.08,100,100,83.03,3.19,17.11,86.14,82.85,45.77,0.17,630825359314.315,12914083.5682348
129,eez,223,Norway,NOR,1716658.86486,100,86.51,53.22,0,76.89,78.64,69.88,76.29,92.89,65.03,77.45,82,85.37,88.57,100,61.29,76.8,80.14,84.07,-0.16,29338208969738.3,82277036.0745368
130,eez,224,Chile,CHL,3657312.86523,87.75,90,0,0,93.97,100,65.18,75.9,100,68.56,74.05,100,100,92.53,100,26.26,80.54,79.99,37.97,0.12,6201430402781.63,53297571.6752252
131,eez,227,Jersey,JEY,2962.10397851,96.3,82.24,54.89,54.79,52.41,88.03,59.71,59.71,81.51,75.32,68.36,86.89,85.75,83.22,0,0,79.27,82.97,48.71,0.17,6151551204.38867,378580.690715879
132,eez,228,Guernsey,GGY,8672.6488605,96.3,79.66,54.38,54.3,56,88.02,62.34,62.34,76.78,75.31,65.38,86.89,85.75,23.31,0,0,49.31,82.53,49.21,0.68,20904875470.2535,574799.963689408
133,eez,231,East Timor,TLS,40225.6748096,55.38,83.11,86.28,84.63,51.46,0.05,43.81,43.8,82.28,66.18,60.14,27.55,55.04,53.98,0.01,0,60.08,83.94,48.99,0.02,39943437933.498,1519091.21398909
135,eez,237,Oecussi Ambeno,TLS,2275.55962631,67.71,77.34,77.82,41.85,62.57,89.49,56.2,56.2,71.49,65.86,62.56,75.72,61.96,34.45,0,0,50.16,83.18,53.65,0.44,2371080054.97754,197116.180433288
136,eez,24,Cambodia,KHM,47966.8393766,66.57,88.47,78.9,75.4,52.24,100,14.79,14.91,90.23,48.73,60.42,74.55,49.11,57.13,23.38,0.4,52.93,86.71,99.81,0.12,51027144633.0771,1181719.27624868
137,eez,244,Curacao,CW,30535.0207162,78.33,92.24,99.96,89.91,69.16,79.96,51.23,51.23,96.93,74.15,74.51,72.71,65.45,37.63,0,35.71,55.89,87.55,100,-0.41,32058623023.1523,1114662.60878621
138,eez,245,Bonaire,BQ,13391.1657371,78.95,93.38,99.59,97.16,68.19,80.25,36.1,36.1,97.95,78.51,71.56,72.97,65.7,59.93,0,0,69.22,88.8,100,-1.54,14211814907.9912,762725.213040122
139,eez,247,Brunei,BRN,25698.4627065,100,90.04,97.36,86.88,57.09,76.37,32.83,32.51,94.29,58.7,61.86,78.55,80.74,26.13,6.16,0,42.41,85.79,33.72,-0.32,26367276734.8008,802769.520856916
140,eez,248,Saba,BES,9483.7767842,79.1,97.07,100,100,62.84,79.94,20.21,20.21,100,78.94,71.63,72.62,65.3,90.02,0,0,84.48,94.14,100,-1.53,10240518594.3262,426348.184147951
141,eez,249,Sint Eustatius,ANT,2237.40364651,77.95,94.3,100,100,49.41,79.57,15.62,15.62,95.45,77.59,67.69,72.27,64.97,57.13,0,0,67.36,93.15,100,-1.55,2083651050.0625,318510.296606867
142,eez,25,Thailand,THA,306890.518478,78.16,89,82.14,78.67,53.44,100,27.08,38.5,89.49,57.42,67.53,85.72,71.44,49.84,55.32,46.38,53.63,88.51,69.7,-0.14,315631336716.939,4605772.81164519
143,eez,250,Aruba,AW,25213.9149738,92.57,93.55,99.99,99.95,57.66,100,56.39,56.39,97.95,82.76,83.04,100,100,11.82,0,0,47.29,89.15,100,-0.07,27905816233.8604,861167.978348886
144,eez,26,Andaman and Nicobar,IND,663520.443845,65.67,87.91,96.73,89.66,62.01,92.32,33.81,33.81,90.89,61.94,67.75,78.1,63.88,16.86,0,0,39.4,84.92,56.48,0.24,689041916450.81,4188525.25802123
145,eez,28,Comoro Islands,COM,165505.199256,43.82,88.39,82.89,86.2,36.74,92.98,31.61,31.61,93.94,62.17,57.81,92.52,92.07,0.33,0,0,31.25,82.84,26.83,-0.4,170750668819.824,2024832.11585067
146,eez,29,Mayotte,MYT,63362.3090544,53.75,92.54,92.81,92.61,52.9,100,23.47,23.31,96.39,53.94,64.24,100,100,100,0.73,0,76.97,88.69,57.47,-2.11,65434051020.2031,1150138.81588284
147,eez,3,Norfolk Island,NFK,432638.145983,96.97,92.12,0,0,77.94,100,42.71,42.71,100,88.26,84.25,96.35,92.7,100,0,0,94.13,84.25,89.51,0.13,558805818081.008,2678975.78550391
148,eez,30,Glorioso Islands,ATF,43699.3838589,53.95,91.49,92.79,0,92.24,96.7,32.84,32.84,93.9,66.51,77.37,95.05,93.4,100,0,0,83.25,89.07,0,-0.43,43697419604.6748,834903.837725856
149,eez,31,Seychelles,SYC,1340839.38271,78.17,91.85,86.67,100,91.42,69.93,34.99,34.99,97.6,63.71,77.27,84.97,100,59.95,0,42.81,61.83,86.1,100,-1.2,1354066918995.32,5496937.67422335
150,eez,32,Reunion,REU,316498.901323,53.21,89.56,92.79,0,68.19,84.6,29.04,29,96.39,74.46,61.33,72.04,59.48,18.9,0.02,0,46.68,82.73,39.18,-0.5,362421786712.805,2527000.41602384
151,eez,33,Juan de Nova Island,ATF,62551.237745,53.18,91.87,92.79,0,91.93,96.7,34.19,34.19,96.39,65.93,70.28,95.05,93.4,0,0,0,32.96,87.34,0,-0.46,68217729409.7437,1104096.65224395
152,eez,34,Bassas da India,ATF,122177.234713,53.07,90.72,92.79,0,92.21,0,35.08,35.08,96.39,65.91,66.14,0,0,0,0,0,32.96,85.05,0,-0.76,138057378550.922,1484678.66147841
153,eez,35,Ile Europa,ATF,125623.801672,54.1,88.6,92.79,0,93.78,0,37.29,37.29,92.79,66.01,74.93,0,0,100,0,0,83,84.4,0,-1.05,146604423356.595,1561403.17222668
154,eez,36,Ile Tromelin,ATF,271996.952725,53.21,87.35,92.79,0,91.69,0,28.22,28.22,92.79,65.84,64.36,0,0,0,0,0,32.92,81.91,0,-1.69,292606271455.964,2062202.17685405
155,eez,37,Mauritius,MUS,1280068.38699,70.9,89.29,90.07,90.32,61.29,71.24,36.59,35.48,95.18,59.27,66.47,72.2,73.17,11.11,2.17,45.58,35.19,83.4,74.39,0.14,1392730676704.11,6093236.74712967
156,eez,38,British Indian Ocean Territory,IOT,642744.718734,59.65,94.48,100,0,93.35,96.98,34.12,34.12,100,62.79,73.15,77.11,57.24,100,0,0,81.39,88.95,45.12,-0.95,647582606032.301,2922734.26191357
